month,year,section,commodity,vessels_current,vessels_prev_year,traffic_tonnes_current,traffic_tonnes_prev_year,pct_variation_yoy
January,2024,LOADED,CONTAINER (JSW),4.0,60.0,70324.0,86910.0,22.49
January,2024,LOADED,CRUDE - ISPRL,0.0,0.0,0.0,0.0,0.0
January,2024,LOADED,FOOD GRAINS,0.0,0.0,0.0,29782.0,-100.0
January,2024,LOADED,IRON ORE,9.0,12.0,503964.0,159919.0,166.83
January,2024,LOADED,OTH.LIQ.CARGOES,0.0,0.0,0.0,0.0,0.0
January,2024,LOADED,OTHER CARGO,1.0,10.0,3037.0,35512.0,-65.02
January,2024,LOADED,PETROCHEMICALS,4.0,17.0,104229.0,40056.0,22.55
January,2024,LOADED,POL PRODUCTS,15.0,125.0,478499.0,396357.0,-13.75
January,2024,LOADED,TOTAL COAL,1.0,10.0,5500.0,0.0,-81.46
January,2024,UNLOADED,CONTAINER (JSW),18.0,91.0,137734.0,125932.0,17.5
January,2024,UNLOADED,EDIBLE OIL,9.0,78.0,88374.0,94633.0,0.38
January,2024,UNLOADED,F.R.M. (DRY),0.0,3.0,0.0,20000.0,2.22
January,2024,UNLOADED,FERTILIZER,3.0,16.0,107250.0,76040.0,4.93
January,2024,UNLOADED,IRON ORE,4.0,17.0,263500.0,146638.0,86.96
January,2024,UNLOADED,OTH. LIQ. CARGOES,6.0,101.0,30694.0,71068.0,28.91
January,2024,UNLOADED,OTHER CARGO,6.0,53.0,13364.0,46456.0,15.15
January,2024,UNLOADED,POL PRODUCTS,11.0,55.0,121419.0,83204.0,96.72
January,2024,UNLOADED,TOTAL CEMENT,1.0,37.0,9960.0,41026.0,-41.22
January,2024,UNLOADED,TOTAL COAL,12.0,91.0,657884.0,516675.0,51.85
January,2024,UNLOADED,TOTAL CRUDE,15.0,154.0,1576414.0,1499513.0,-5.89
January,2024,UNLOADED,TOTAL LPG,10.0,127.0,241335.0,265514.0,14.71
February,2024,LOADED,CONTAINER (JSW),5.0,64.0,97700.0,88857.0,21.12
February,2024,LOADED,CRUDE - ISPRL,0.0,0.0,0.0,0.0,0.0
February,2024,LOADED,FOOD GRAINS,0.0,1.0,0.0,468.0,-100.0
February,2024,LOADED,IRON ORE,3.0,15.0,168855.0,163767.0,139.57
February,2024,LOADED,OTH.LIQ.CARGOES,0.0,0.0,0.0,0.0,0.0
February,2024,LOADED,OTHER CARGO,1.0,12.0,3069.0,8278.0,-64.94
February,2024,LOADED,PETROCHEMICALS,3.0,18.0,129334.0,62792.0,30.8
February,2024,LOADED,POL PRODUCTS,10.0,135.0,446603.0,432711.0,-12.38
February,2024,LOADED,TOTAL COAL,0.0,10.0,0.0,0.0,-81.46
February,2024,UNLOADED,CONTAINER (JSW),15.0,101.0,116258.0,107455.0,16.76
February,2024,UNLOADED,EDIBLE OIL,5.0,84.0,88744.0,59759.0,3.66
February,2024,UNLOADED,F.R.M. (DRY),0.0,3.0,0.0,0.0,2.22
February,2024,UNLOADED,FERTILIZER,1.0,16.0,11500.0,0.0,7.47
February,2024,UNLOADED,IRON ORE,3.0,22.0,196200.0,283837.0,60.09
February,2024,UNLOADED,OTH. LIQ. CARGOES,12.0,110.0,83413.0,67749.0,28.16
February,2024,UNLOADED,OTHER CARGO,5.0,62.0,40124.0,21779.0,22.05
February,2024,UNLOADED,POL PRODUCTS,10.0,63.0,144694.0,70732.0,97.67
February,2024,UNLOADED,TOTAL CEMENT,2.0,39.0,21021.0,18706.0,-38.36
February,2024,UNLOADED,TOTAL COAL,13.0,102.0,881732.0,554204.0,52.74
February,2024,UNLOADED,TOTAL CRUDE,16.0,165.0,1680508.0,1320443.0,-3.13
February,2024,UNLOADED,TOTAL LPG,11.0,140.0,244278.0,254366.0,12.85
March,2024,LOADED,CONTAINER (JSW),8.0,69.0,101815.0,104512.0,18.43
March,2024,LOADED,CRUDE - ISPRL,0.0,0.0,0.0,0.0,0.0
March,2024,LOADED,FOOD GRAINS,0.0,1.0,0.0,0.0,-100.0
March,2024,LOADED,IRON ORE,1.0,22.0,60008.0,380714.0,77.12
March,2024,LOADED,OTH.LIQ.CARGOES,1.0,0.0,8481.0,0.0,0.0
March,2024,LOADED,OTHER CARGO,0.0,12.0,55.0,0.0,-64.91
March,2024,LOADED,PETROCHEMICALS,3.0,21.0,77640.0,85378.0,26.08
March,2024,LOADED,POL PRODUCTS,14.0,150.0,561000.0,591449.0,-11.66
March,2024,LOADED,TOTAL COAL,0.0,11.0,0.0,1850.0,-81.89
